,EN
LangName,English
ClickToStart,"(Mouse click, to start...)"
Version,Version {VERSION}
MenuPlay,PLAY
MenuHowToPlay,HOW TO PLAY?
MenuCredits,CREDITS
MenuTalk,Hey![awt] The name's [shg]County[/shg]![awt] I'll be your clock for today!
Credits1,Game created by:\n[color=lime]Bitowsky[/color]
Credits2,Videos taken from\n{LOGO_PEXELS}\nunder Pexels' free license
Credits3,Created for\n{LOGO_GMTK}
CreditsTalk,"With special thanks to [shg]Sebixo, Gliderpop[awt] and AnomeQ[/shg]![awt] Tee hee!"
CreditsQuit,GO BACK
HowToPlay1,Hey hey![awt] And welcome to [shg]”It's Gonna Happen!”[/shg]!
HowToPlay2,"My name is [shg]County[/shg], and I'll be your clock for today!"
HowToPlay3,"In this game, your goal is to [shg]predict, in what time a certain action is gonna happen[/shg]."
HowToPlay4,"Every level, you're gonna be shown a video with someone or something doing a certain activity."
HowToPlay5,Then...
HowToPlay6,...the video will get paused.
HowToPlay7,"[shg]Using my display[/shg], your goal is to guess, [shg]how long it takes for the video to get to the action that I will ask for[/shg]."
HowToPlay8,"Depending on your answer, you'll receive some points.[awt] [shg]The more precise your answer is, the more points you'll get![/shg]"
HowToPlay9,"And at the end of the game, all the received points will tally up nicely into [shg]your final game score[/shg]!"
HowToPlay10,And that's pretty much it!
HowToPlay11,Now let's see if you're a master of predicting things![awt] Tee hee!
Ending1,Hey![awt] Thanks for playing this [shg]GMTK Game Jam 2026[/shg] submission.
Ending2,Have fun with other submissions!
Ending3,...
Ending4,...
Ending5,Unless...[awt] you're playing this after the jam ended.
Ending6,...
Ending7,...
Ending8,"In that case, have a nice day or night![awt] And check the batteries in your clocks![awt] Tee hee!"
Ending9,"And if you want to go back to the main menu, [shg]press the button on my head[/shg]!"
Round,LEVELS LEFT:
Rewatch,REWATCH
NextLevel,NEXT LEVEL
Gametip_input,CLICK AND HOLD COUNTY'S DISPLAY AND MOVE THE MOUSE UP OR DOWN TO ADJUST YOUR ANSWER.
Gametip_submit,"IF YOU'RE READY WITH YOUR ANSWER, HIT COUNTY'S BUTTON ON HIS HEAD!"
Results_perfect,NAILED IT TO THE MILLISECOND!
Results_early,YOU WERE OFF BY {TIME} SECONDS TOO EARLY!
Results_late,YOU WERE OFF BY {TIME} SECONDS TOO LATE!
Results_points,YOU GOT {POINTS} POINTS!
Results_comment_perfect,"Woah, a perfect score?[awt] Tick-tock-stic!"
Results_comment_close,"Ohhh...[awt] so close.[awt] But good job, either way!"
Results_comment_good,"Hey, that's pree-[awt]tick-[awt]y[awt] good!"
Results_comment_mid,"Nice, but...[awt] could've done better?"
Results_comment_bad,Well...[awt] can't say you haven't at least tried.[awt] I think.
Results_comment_awful,"Sorry, but...[awt] that's out of acceptable range..."
EndTalk,End of the game![awt] Now let's see how well you've performed![awt] [shg]Press the button on my head[/shg] to see the results.
FinalPre,"With all of those interesting points, you [shg]total score[/shg] is..."
FinalReact_test1,WOWOWOWOWOWOW
FinalReact_test2,POGGERS SCORE LOLOLOLOLO
FinalReact_test3,"I mean...[awt] I think, becaase this is a test talk, [awt]and I can't rate it preciselly yet."
FinalReact_perfect1,Woah![awt] Unbelievable!
FinalReact_perfect2,"That is, literally, the [shg]maximum amount of points you can get[/shg]!"
FinalReact_perfect3,This is incredible!
FinalReact_perfect4,How did you do it?
FinalReact_perfect5,...
FinalReact_perfect6,"You really ARE[awt] something special, aren't you?"
FinalReact_good1,Wow![awt] That's an amazing score!
FinalReact_good2,Congratulations![awt] Hee hee!
FinalReact_good3,"You're really good at predicting, when the things happen!"
FinalReact_good4,You could save a lot of lives that way![awt] Hee hee![awt] Hee hee!
FinalReact_good5,...
FinalReact_good6,...
FinalReact_mid1,"Well...[awt] I mean, it's quite an amount of points, isn't it?"
FinalReact_mid2,...
FinalReact_mid3,"Hey, don't be sad!"
FinalReact_mid4,I'm sure you'll perform better next time!
FinalReact_mid5,After all...[awt] everyone can[awt] and will be[awt] the winner!
FinalReact_mid6,...
FinalReact_bad1,...
FinalReact_bad2,I mean...
FinalReact_bad3,"I guess...[awt] I'd be lying, if I said that you haven't at least tried!"
FinalReact_bad4,Hee hee![awt] Hee...
FinalReact_bad5,...
FinalReact_bad6,...
FinalReact_awful1,...
FinalReact_awful2,Hey...[awt] uhhh...
FinalReact_awful3,Ever considered being a fortune teller?
FinalReact_awful4,...
FinalReact_awful5,...
FinalReact_awful6,Maybe...[awt] don't?
FinalReact_awful7,...
FinalReact_awful8,...
FinalReact_finish,Anyway![awt] Feel free to [shg]press the button on my head[/shg] for the finish!
,
Q_golf,How long until the [shg]ball gets into the hole[/shg]?
Q_clock,How long until the [shg]minute hand gets to 12[/shg]?
Q_football,How long until the [shg]ball gets kicked[/shg]?
Q_beachdog,How long until the [shg]dog touches the sea[/shg]?
Q_domino,How long until the [shg]last domino block falls down[/shg]?
Q_tennis,How long until the [shg]tennis ball gets hit by the racket[/shg]?
Q_volleyball,How long until the [shg]volleyball ball gets hit[/shg]?
Q_coin,How long until the [shg]coin stops moving[/shg]?
Q_frisbeedog,How long until the [shg]frisbee collides with the dog[/shg]?
Q_snowboard,How long until the [shg]snowboarder lands on the ground[/shg]?
Q_motorcycle,How long until the [shg]motorcycle lands on the ground[/shg]?
Q_basketball,How long until the [shg]ball hits the basket[/shg]?
